Gene ID,GenBank Nucleotide Accession
67800,AI126704; AY780646; AY358532; CR749377; NM_032564; BC015234; DB462004; HQ448288; AL834287; AY780647; AB048286; NM_001253891; AB073384; AK074203; AK091870; ; AF384161; XM_011545304
12491,AK300101; AK312920; HM217023; M98398; S67532; AK129899; CR749465; DQ896314; KU177962; KU177963; S60719; XM_005250714; NM_001127443; NM_001289909; AK057690; BC008406; HM217025; HM217026; M24795; AK096858; AL596924; HM217021; L06850; NR_110501; DQ893062; S60720; AA846141; HM217022; HM217024; M98399; S67044; NM_001001548; NM_001127444; ; BP258762; DC338512; KU177961; NM_000072; NM_001001547; NM_001289908; NM_001289911; BP259746; DA566475; DA857400; HM217020; XM_005250713; XM_005250715
11363,BC064549; DQ890785; NM_001608; AK296161; DQ893941; M74096; XM_005246517; ; DC350098; BC039063; XM_017003955; AK313498
97212,AK299258; AK313027; FJ626228; BC009235; NM_000182; ; DQ892776; GU727642; AI972144; AK302532; D16480; DQ896023; U04627; CN264228; AK293398
18746,AK309781; BC012811; BG490968; XR_001751314; NM_001206796; NM_001206797; AF025439; AK092369; AK308264; BC000481; BC007640; EU176742; AK294315; BC019265; BC094767; BX648597; EU794631; EU832358; NM_001316318; BC023592; BC035198; BC035487; BC096823; EU832443; Z36831; XM_005254445; ; BC007952; DC376054; XM_011521670; NM_002654; AK300800; AK312253; BC023328; DQ892739; AK299413; AK307855; NM_001206798; AK222927; AK297951; DA382029; DC326232; M23725; M26252; Z36786; XM_005254443; XM_006720570; XM_017022313; NM_001206799; NM_182470; NM_182471
231086,AF113209; AK095278; BC014572; BC017564; DA067388; XM_017003939; NM_001281513; BC066963; DA835045; DB477128; DQ892722; AK130072; AK293142; AK302322; BC030824; NM_000183; AK304455; DQ895971; XM_011532803; ; NM_001281512; AK314455; D16481
52538,AK054673; ; AK225457; BC001918; DQ896697; D16294; AK093311; DQ893376; NM_006111; AK314462
13030,AA516096; BC010240; L16510; XM_006716245; XM_011543812; AK097384; AK098296; BC095408; M13230; NM_001908; AK128472; AK130184; BX647765; CB997355; NM_147783; AK075393; AL543654; BX648239; XM_017013100; DC386022; NM_147780; NM_147781; ; AK297687; BG770805; BM008741; BX647952; L38712; XM_017013099; XM_017013101; NM_001317237; AK092070; AK290239; AK296845; XM_017013097; NM_147782; M14221; Y18460; XM_006716244; XM_017013098
67426,AF218003; AK092784; BC129930; BX648860; XM_011544238; AI888739; AB073905; AK293571; XM_011544240; ; AK297735; AK300537; NM_020247; XM_005273201; AK074693; AK090494; AK126200; AK301012; AL137511; DA925261; XM_011544241; XM_017001852; AJ278126; BC005171; XM_011544239
21835,CB122257; ; AK311975; BC031989; AI749106; BG674197; AI480357; BP317892; EU447014; NM_003251
13629,AK297398; BC006547; HQ258667; NM_001961; AU118535; AY942181; BC126259; BC136313; M19997; X51466; Z11692; ; AK299225; AK298498; BC024689
20599,
14778,AK310242; BC066949; BC013218; BC013601; X58295; ; BC035841; HY069764; NM_001329790; BI522602; NM_002084; AF217787; AL036834; BC025956; BC050378; D00632; HM005392
18597,AK129887; AK222740; AK312263; DC361191; L48690; ; BU170389; DA075402; DQ895057; L13318; S89908; X52709; X52710; AK293250; DQ891865; M24848; XM_017029574; AW204705; NM_001173456; NM_001173454; DQ895054; J03503; AK296457; EF576990; EF590116; EF590117; R49470; AK222988; AK296341; BC002406; J03575; NM_000284; NM_001173455; AF125082; AF125085; AF125087; D90084; M27257; M29160; M29163; M29164; AF125053; AF125058; AF125071; AF125072; AF125074; M29156; M29157; M29162; AF125056; AF125073; AF125075; AF125080; AF125083; M29161
14683,AF493897; BC002722; BC066923; BM894355; BQ029639; CX869731; DB483472; KU178095; M77026; X04408; X56009; XR_001754247; NR_132273; AL537118; CN273438; HY141824; XM_017027817; AK314549; AK315874; BC089157; BC104928; CN403086; EU832170; EU832264; XM_017027816; XM_017027818; NM_000516; NM_001077489; NM_001077490; AF064092; AK054862; CA335150; CB530031; XM_017027812; NM_001309842; NR_132272; AJ224867; AK122771; BC036081; DB037677; X07036; NM_080425; AF088185; AF105253; AF493898; AK026564; AK225818; BQ230306; HQ448266; M14631; XM_017027821; NM_080426; AA948160; AK093534; AV751821; CN295544; X04409; XM_017027813; XM_017027814; NM_001077488; NM_001309840; NM_001309883; ; AF088184; AK315860; BC008855; BC022875; BC108315; BF800576; BF879848; BT009905; BU857975; KU178096; XM_017027815; XM_017027819; XM_017027820; XM_017027822; NM_001309861; NM_016592
22227,; BC098352; BC098258; U28480; BC069556; BC096736; XM_011532228; BC098168; XM_005263206; NM_021833
11364,AF251043; AK311185; AK312629; AK315946; DB453314; AK301005; AK301039; BI789086; HM005320; KU177878; NM_001127328; AK301717; DB055575; NM_001286042; NM_001286043; M16827; KU177876; ; AK309843; AK311022; NM_000016; BC005377; DQ892341; DQ895710; KU177877; AK296045; BX647734; DB537134; NM_001286044; NR_022013
212862,AK093067; AY280610; BC050429; XR_001748816; AY166717; XM_011538575; XR_245946; NM_020244; ; AF047431; AK075211; AK226127; AY166718; XM_011538574; AF195623; BC020819; AF111803; CD300296; XR_001748817; XR_001748818; AF195624; AY294627; AY280609
18563,; AK297705; BC011617; S72370; XM_017017870; XM_017017872; NM_001040716; DA542083; XM_011545086; XM_017017868; K02282; M26122; XM_005274031; XM_005274032; XM_006718578; XM_006718579; XM_017017871; NM_000920; U04641; U30889; U30891; XM_011545087; XM_017017869; NM_022172; CN267865; U30890
11804,AF168956; AK225283; BM992563; DC336210; HM005336; L27631; NM_001142278; NM_001328682; AK128162; AK300378; EU176299; L23114; NM_001243299; NM_001328685; AK308932; NM_001142277; NM_001642; NR_024516; AK124457; AK304736; BC000373; L19597; AK056883; AK122834; AK296765; AK308248; BC004371; L09209; L23113; NM_001142276; NR_024515; ; EU176627; S60099; Z22572; BX647107; NM_001328684; NM_001328686
19156,AK299184; DQ896255; J03077; M60258; NM_001042465; ; AK057878; CR456746; DC420206; AK129790; BC001503; BC091483; M32221; M60255; M81355; M12710; M60257; AA487963; AB209776; BT006849; J03015; AK307721; BC004275; D00422; DQ893009; NM_002778; AK223290; AK293672; BC007612; DQ587608; NM_001042466
170439,XM_011532234; XM_011532235; AK074882; NM_024090; BP278053; H65618; ; BC001305; AK074813; BP314858; DB368351; AK027031; BE539688; XM_011532233; NM_001130721
13033,; DQ893547; KU178007; AK130178; BC016320; X05344; BM976200; CR456947; DQ893878; BM762986; BT006910; KU178008; BC001574; EU794598; BT020155; M11233; NM_001909
12683,; AY364639; R73455; NM_001318383; NR_134607; NM_001279; AF041378; BC031896; AA683375; AK122762; BQ718688
15107,XR_001741214; NM_005327; ; AF001903; DA825380; AF001902; DQ891419; AI017358; AK096018; AK314444; BC000306; NM_001331027; BM682975; XM_005262972; NM_001184705; DQ894593; HM005616; X96752
19088,CF593944; M31158; AL559918; AM393258; AM392728; AM393700; BC014355; BC075800; BQ022817; ; NM_002736; AK128639; XM_011516398; AK291441; AM392771; CA405423
27273,AF334710; AK096428; AK223328; AK098151; AK312424; DA923767; DB035430; DQ891256; U54617; BC040239; NM_002612; ; DQ894441; U54622; AC002451; U54627
21961,BC051304; XM_011511712; XM_017004802; XM_017004808; XM_017004810; XM_017004811; XM_017004813; ; AF173897; AL117537; AL706926; XM_017004812; AK300345; BC014042; BC126910; BQ045472; NM_022648; AK310169; BC063142; BC116188; XM_011511723; XM_017004817; AB209238; AF176917; BC033065; BC071905; XM_017004805; XM_017004807; XM_017004814; NM_001308023; AF116610; AF172820; AK001785; AK309785; BC107758; XM_011511715; XM_017004801; NM_001308022; AK057328; BC140942; BE142921; XM_017004803; XM_017004804; XM_017004806; XM_017004809; XM_017004816; BC116187; XM_011511713; XM_011511728; XM_017004815
15526,AK315177; EU446981; FJ224291; ; BC030634; BX426279; DQ480334; L11066; L15189; AK225488; AU130219; AK297795; AK297897; BC000478; BC024034; JF432370; AK222758; AK293990; DQ185038; NM_004134; AK023317; DC356852
66092,AL834502; AY358824; AK130097; AK297960; AK292864; AK299937; CR533519; AB009685; AF131820; BC010354; AF060923; AF078863; AK098770; AK130094; AM393429; BC022872; ; AF161400; AK225318; AK298332; AL136713; AM393685; NM_014394
16828,AK296667; CR541714; ; EU794632; AK130105; AK296089; DB502157; NM_001135239; AK130587; NR_028500; AK298834; BG760757; BU507758; CD243986; DA609380; DC392310; NM_001165416; AK307477; AY423727; X02152; AK026515; AK130035; AK223078; CR456775; NM_001165415; BC067223; BG424022; BM995301; DC396757; NM_001165414; NM_005566
14571,; AL703918; NM_001083112; AK027840; XM_017003831; AF311325; AK123563; AK291065; AK299645; BC019874; DA220999; U36310; XM_011510980; AK093198; BM750374; XM_011510977; NM_000408; AL699359; U12424; XM_011510978; XM_017003830; HM005389; XM_005246469; AB209399; AK290057; U79250; AK022596; AK292817; KU178099; KU178100
20916,AB035863; AK093506; AK225452; AK001847; XM_017020806; AK315513; KU178443; NM_003850; ; AK001458; AK316271; BX640602; KU178442; XM_017020807; XM_017020809; XR_001749704; AK316041; AF058953; AF087890; AK299437; AK302311; AL080096; BC027587; XM_017020808
22273,AA284910; AK129903; BC009586; NM_003365; AK300694; ; AK302840; L16842; AK313090; D26485
68465,AY424280; AK127196; ; BC004906; HQ448616; XM_005253789; XM_011521024; NM_024551; BC051858; AK025085; AK128511; BM973815; XM_006719018
14319,BC035441; DQ894293; BC063514; BC104643; NM_002032; BC013724; BC020300; M15383; AY258285; BC015946; BC105802; BM971420; DQ891113; BC000857; BC001399; BC016857; BC066341; M97164; AF088851; BC011359; BC015156; BC016009; BC070494; BC073750; BQ887222; D28463; M11146; ; AB062402; AK311818; L20941; M12937; X00318; BC066961
67834,DQ896022; AL110096; AL442090; CR749548; DQ892774; AK299970; AK316051; DQ893529; XM_017022119; XM_017022120; NM_005530; AK315963; BC036227; ; AK096721; BC021967; AK093531; AK222973; AK296002; U07681; XM_005254336; XM_017022118
78920,; BC001922; D17297; DA995927; AA101667; AU133381; BC002735; BM682697; CN422511; CR456727; CX163292; HQ448281; BX248774; BC000302; BM928746; AK299505; AL538322; BX248764; NM_001933; NR_033814; AI087261; AK289414; AK300396; D16373; L37418; NR_045209; AK316463; BX248276; DC338747; XR_001750184; NM_001244883; BM929953; BU623022
104158,AK290623; M55509; NM_001025194; BC009706; BC110338; XM_005255774; L07764; NM_001266; AY268104; CB137639; S73751; X52973; AB119995; AK292209; AK301651; M65261; AB025026; L07765; AB119996; AF177775; BC012418; DQ894656; NM_001025195; ; AU139632; DQ891472; M73499
14433,AK299448; BT006893; BU155402; EF036498; AB062273; BC029340; BC083511; BI463134; HY000136; AJ844645; BM763361; EU668321; HY004110; X01677; NM_002046; AF261085; DQ403057; DQ891557; HY022295; HY046784; J02642; M28283; AK026525; BC004109; BC013310; BC023632; M17851; M33197; ; AJ844644; AK308198; BC001601; BC009081; BC026907; BC029618; DQ894744; M36164; NM_001289745; NM_001289746; AY007133; BC020308; BC025925; BG724119; CR407671; HQ727992; X53778; NM_001256799; AY633612; BE893087
20742,AJ005694; XM_017004780; NM_003128; AB371586; AK093946; BP218428; BP312037; ; AB209748; AF327441; AK023762; BC009640; BC032061; BM679686; S65762; AB209551; AF218848; JQ599728; XM_005264518; BC137283; NM_178313; BC137282; EU794662; XM_017004779; XM_017004781; AK025071; AK295570; AL117605; CR980403; XM_005264517; XM_006712087
100861531,
12266,AA025232; BP349355; K02765; KC493376; EU794602; ; BC063852; AK304071; BC150299; AI758500; BP201387; KC493377; M55658; AK094728; BC022897; BC150179; BC150200; NM_000064
227753,AK092797; AK096280; AK295572; AL832070; DC378873; EU176693; XM_017014643; AK295201; AK297870; AK300631; BC026033; BX647999; XM_011518587; XM_017014644; XR_001746283; NM_198252; DA394782; DQ892187; XM_005251945; XM_011518584; XM_011518594; AK307859; DA294394; XM_005251943; XM_005251944; XM_011518586; XM_011518592; XM_017014647; NM_001127666; AI742454; AK299453; BC017491; DC370937; XM_006717079; XM_011518589; XM_017014645; NM_001127664; ; AK304629; AK304675; DA450851; DB170452; DB250757; XM_011518585; XM_011518588; XM_011518590; XM_011518593; XM_017014648; NM_000177; NM_001127662; NM_001127663; NM_001127667; AK125819; AK315494; BU151663; DA823796; X04412; XM_011518591; XM_017014646; NM_001258029; DC316173; DC341948; NM_001127665; NM_001258030
170718,AK300485; BC019037; BX647393; XM_005260716; XR_001754265; DQ895816; ; AK315641; AL050094; XR_001754267; BC001960; BX119223; DQ895776; HY131986; NM_001330763; AK001905; EU832019; NM_174856; AK309488; BP872064; DQ892561; EU831924; NM_174855; NR_136344; BG745042; XR_001754266; NM_001258384; NM_006899
67003,AK093106; ; DQ894565; J04973; BC000484; AK094006; AK307535; BC003136; BQ181225; DQ891390; NM_003366
20514,AF334818; AK125222; ; AF105423; DA031076; NM_001145145; AK301661; DQ895345; AK316546; NM_005628; AB209738; AK292690; BC000062; XM_005259167; AF102826; AF105230; AK055630; AK299137; DQ892148; AK293433; GQ919058; U53347; NM_001145144
12389,DA477166; DB266251; EU176473; AF070648; AM393679; EF179102; NM_001172896; NM_001172897; AB451416; Z18951; NM_001172895; AI878826; DQ890647; NM_001753; ; AB451284; AY762103; BG170208; EF649773; EF649774; AF074993; AF172085; AK307501; BC009685; BC082246; DA943080; AB209926; AK290871; BT007143; DQ893827; AL133639; BC006432
15516,AK025370; BC068474; D28342; DC365600; NM_001271971; AK297367; BC004928; BG482327; BX649079; DC341882; BC009206; BC016753; AF275719; AK290734; AK312255; M16660; NM_001271969; NM_001271970; AK130494; BQ028821; DC340766; DQ896268; AY359878; BC014485; BI252490; CD653541; ; AK294643; BC007327; BE539681; BX420114; NM_001271972; NR_073528; AL136543; BC012807; CX761569; DC350708; DQ893024; NM_007355
14311,AK024530; NM_001199552; NM_001321142; CD518776; NM_001199623; NM_001321143; NM_022094; AI460316; AL598630; AL598731; BQ695178; CD518729; AY364638; HQ447102; AK024524; AY364640; NM_001321144; ; BC016851; AF303893; CD519587; NM_001199551
14751,AK301103; BC006342; DA158837; NM_001329911; DA909998; DQ896173; FY213211; HY310615; XM_011526754; ; AK129884; DQ892924; NM_001289790; AB209575; AK025421; AK293446; BC004982; BX641158; DC299841; NM_000175; NM_001329909; AK130102; AK294396; DA171856; XM_006723148; BM664761; DC342043; X16539; XM_005258764; NM_001329910; NM_001184722; CR745343; K03515; NM_001289789
110842,BC095457; ; BU176141; J04058; KU178047; NM_001127716; AK292979; BC015526; D28380; KU178046; XR_931766; NM_000126; AA557337; BC034156; BG261160; BC029995; DA838974; AK300044; BT009796; KU178048; AF436650; S55815
226646,AF050640; AK301641; AK309871; BC000170; ; BC001456; BC008868; DQ894087; XM_017001357; AK314807; Z36812; AF013160; AK315977; NM_001166159; NM_004550; XM_005245208; AK222618; CA312786; XM_005245209
51798,BC014786; DQ892926; U16660; XM_017026448; AK301211; BG527600; AK126566; BC011792; AV738478; BC017408; AK291860; NM_001398; ; DQ896175
11816,AL037046; CA771535; NM_001302688; NM_001302690; BU848796; DQ895759; HY074384; AK314898; BM042032; KU177910; X00199; ; KU177911; Z70760; NM_001302689; AK308546; BI550631; DB486513; K00396; BC003557; KU177913; M12529; NM_000041; DQ892548; KU177912; HY056112; HY074888; NM_001302691
110095,BC082229; M14636; ; BC009895; NM_002863; BC095850; Y15233; NM_001163940; AK225904; AK300580; AF066858; AK309333; AK313206; AY429567; DA287767; M36807; AA523002; AF046785; AL134906; BC065011; BC110791; AF046793; CH471078
229709,AF090905; AK131563; CF456195; NM_001242674; AA427939; AA865152; AK303690; BC010681; DC328766; XR_001736934; AL049954; DQ891021; EU831760; XR_001736935; ; AK308080; AK313392; BK005417; DC329490; EU831838; XR_946527; NM_001242673; BC007576; BC065254; BC095476; BQ774807; U82761; XM_011540535; NM_001242676; AF035319; AF315687; BC110896; BC146492; AK316110; BC003631; BC016942; BC111563; BC140414; BK005418; DQ894201; NM_001242675; NM_006621
12583,DA849625; CR536540; HQ448366; NM_001323567; NR_136620; ; AK130357; CK005322; NM_001323565; BG197197; NM_001801; BX336206; NM_001323566; AK314231; BG720517; D85777; Z23010; NR_136618; BC024241; BG897741; DA359016; NR_136619; NR_136621; AL534761; DQ891652; Z31357
68263,BC004115; BM971427; NM_001315536; BC001924; AK313022; AM393278; AB209241; AK225621; AK293153; AK311514; AL706543; BQ477366; M34056; NM_000925; DQ891366; J03576; M34479; NR_033384; M54788; X57778; AL117618; DQ894546; NM_001173468; ; AK225569; AM392999; BC000439; CR541911; DA965753; DB039833; M34055
66445,BC001006; BG328536; BT019798; M16597; BE336714; ; BQ574597; CN369438; CR735564; AK026633; DQ894671; CR541674; DQ891486; AK225796; BC015616; NM_001916; BC020566; BC024650; X06994; XM_017013102
17347,; BU192307; DA950743; AK001730; AL513974; EU832396; NM_017572; NM_199054; AB209074; AL137565; EU832311; AK024347; AK092536; AK097012; AK303393; BC018345; BM977403; AF237775; AF237776; AL137615; BC021235; AK293742; BC073140; AF125532; AK023442
20363,AK094640; Z11793; NM_001085486; ; AK096125; BC040075; AK311392; BC030009; BI463468; AK225801; AL833145; AU136519; BC046152; BC058919; BC005244; BC015875; HM005482; NM_001093726; NM_005410
11450,AX767959; BC096308; BC096310; BC054496; BC096309; ; EU420013; D45371; AK312868; NM_004797; AK291525; AL832470; BC096311; NM_001177800
11430,XM_011524868; ; AK292965; BC010425; BQ943492; DC297086; X71440; XM_011524869; U07866; NM_007292; AK225897; AM393156; BX537380; NM_001185039; AK308218; AK095501; AK291793; AK300447; BC008767; NM_004035; AK296409; S69189; U03257; U03263; U03268
20692,DQ893415; J03040; AK096969; BC072457; BI602719; D28381; NM_003118; BC008011; ; AK299441; AL541830; AY545555; BC004974; NM_001309443; BQ018477; CR456799; DQ896734; AL540785; NM_001309444; AK315591; Y00755
13382,AK297508; BC018648; AK225289; NM_000108; AK300077; AB209703; AK225301; AK312346; BI562331; DC354209; NM_001289752; BC018696; AK295080; J03490; NM_001289750; ; AK294146; AK310220; HQ447584; NM_001289751; J03620; L13750; L13757; L13754; L13755; L13756
104776,AK311478; ; AK294243; AW418653; BC032371; NM_005589; AI244036; AK312389; BC004909; DQ892921; EU176729; AK223244; M93405; AF148505; DQ893680; AF038011; AF159889; HM005435; XM_017021331; AJ249994; AK222687; NM_001278593; NM_001278594
11537,AJ313463; BC057807; NM_001928; ; BC051001; DA008405; CR536575; HY281047; NM_001317335; HY087483; BI763909; DQ884409; BC034529; BG573629; BC040146; M84526; AK300963
22628,AK024230; AK293505; NM_012479; AB024334; CR541925; DC343104; CR541904; ; AF142498; BI495132; AK295029; BC020963
103968,BQ003487; CB266260; NM_001145311; AK310907; NM_002666; CB266707; XM_005254934; AB005293; ; BC031084; CA427560
110446,S70578; AK312574; XM_017017681; XM_017017682; BC010942; BC063853; XM_006718835; NM_000019; D90228; XM_017017683; AF086561; AW081574; BM789408; HM005511; 
12908,; BG741603; XM_017014274; XM_017014275; BQ068230; NM_004003; BG741927; CB043845; X78706; NM_000755; NM_144782; BC000723; CF125676; HY328978; XM_005251708; NM_001346547; BI752361; NM_001346549; AL523652; BT006801; CB243402; NM_001346548; AK313931; BI460020; BM553197; NM_001257363; NM_001346546
15929,; AB209206; BC000933; BC001902; U69269; NM_004135; AM393133; BI831096; NM_174869; U69268; Z68907; AM393247; U40272
56451,; BP194715; CR457139; NM_003849; AF104921; Z68204; AK125502; BQ774501; AK296741; BC000504; AK313290; AK024767; AK225737; AA705613; AK291082; BM804835
16890,; AK292482; XM_005258939; XM_005258940; NM_005357; AK309893; BC029961; XM_005258937; XM_006723218; XM_017026810; BC029301; BC070041; U40002; XM_005258938
13690,AB073654; AB209267; AK310387; BX647799; U73824; AK302886; DB272352; DB231980; X89713; AI362365; AK223548; AK310738; BC014930; BC111548; ; AB063323; BC065276; U76111; NM_001418; BC018746; BC039851; BC043149; BC111415; NM_001042559; AK123338; AY513274; BC018975; DB072494; NM_001172705
17449,EU794635; AK295931; U20352; NM_001316374; AK300719; BC001484; CR457405; NM_001199111; CB266998; AK312331; NM_001199112; BI667299; D55654; ; AK307273; NM_005917
NaN,
