Entrez_ID	Gene	mouse_scBAT_count	mouse_iBAT_counts	mouse_WAT_count	BAT1_int_Wu	BAT2_int_Wu	BAT3_int_Wu	beige1_int_Wu	beige2_int_Wu	beige3_int_Wu	Human_scBAT_FPKM	Human_WAT_FPKM
11370	Acadvl	44419	45729.6667	8681.3333	2972.77	1395.36	1587.07	1594.92	2021.19	1880.08	1.2	0.19
231440	Parm1	3211	2839.3333	716.3333	318.285	305.04	621.47	380.3	173.265	190.1	22.31	3.12
20501	Slc16a1	5657	5395.3333	1582.6667	3137.45	2921.13	3139.26	1379.83	1199.38	2531.935	0.81	0.27
16997	Ltbp2	6370.6667	6783.3333	2120	903.11	1685.15	1017.91	1189.34	1884.93	1877.12	11.43	4.78
12850	Coq7	1755.6667	1865	492.6667	460.55	269.43	159.82	389.13	438.46	483.73	2.9	1.04
108654	Fam210a	7869.6667	8021.6667	2399	267.926	239.724	236.312	240.796	194.488	279.418	16.2	7.54
108654	Fam210a	7869.6667	8021.6667	2399	267.926	239.724	236.312	240.796	194.488	279.418	1.16	0.53
13063	Cycs	7358.6667	7593.3333	2211.3333	8209.88	5061.875	3261.985	5535.66	5381.4625	6134.715	228.73	93.24
16527	Kcnk3	9953	11453.6667	1733	32.0833	161.29	82.42	95.1033	86.8867	46.7733	5.67	2.45
18511	Pax9	145.3333	5.6667	1	23.1967	14.3867	31.8133	17.7067	11.8833	6.38	1.17	0.43
11363	Acadl	37778.6667	38401.6667	9527.3333	1696.155	2120.39	1402.485	1511.44	1071.505	1523.8	3.41	1.28
77559	Agl	5229	4636.3333	1621.6667	183.88	217.4	163.62	109.4267	97.5533	165.7467	1.29	0.13
67834	Idh3a	25036	27275.6667	6591.6667	1047.8925	890.1425	697.6675	737.17	543.835	1168.7175	68.77	30.99
78286	Nav2	698	548	161.3333	20.3875	34.8537	48.5712	31.7013	45.1237	40.325	11.94	2.87
78286	Nav2	698	548	161.3333	20.3875	34.8537	48.5712	31.7013	45.1237	40.325	5.67	0.28
67270	Mrpl42	3232	3211.6667	1166.6667	1214.565	921.725	750.085	718.695	1040.02	1075.155	8.08	3.19
27273	Pdk4	27652.6667	30387.6667	4372.6667	6420.4	8170.06	9686.47	4634.75	1922.59	2568.34	174.72	51.82
18597	Pdha1	32596.6667	31342.6667	10022.3333	3014.415	2627.785	2263.86	2264.485	2266.465	3150.865	1.77	0.28
17929	Myom1	679	383	130	11.6	17.03	18.47	17.43	3.22	9.44	1.1	0.45
74166	Tmem38a	817.6667	449	145.3333	29.7	28.555	23.155	35.015	25.805	28.9	3.97	1.38
13382	Dld	18964.6667	19071	6014.3333	1093.045	970.525	618.445	879.235	391.19	872.125	68	30.9
57441	Gmnn	786.6667	922.6667	260.6667	371.55	342.56	318	349.92	461.41	362.94	11.27	4.64
57441	Gmnn	786.6667	922.6667	260.6667	371.55	342.56	318	349.92	461.41	362.94	1.57	0.51
14066	F3	2369	2890.6667	758.3333	2028.61	3402.59	1589.25	1156.86	498.57	1161.09	59.86	17
14066	F3	2369	2890.6667	758.3333	2028.61	3402.59	1589.25	1156.86	498.57	1161.09	20.42	8.1
11946	Atp5a1	59849	58580.6667	22998	4731.6133	3361.69	3806.7933	3653.7333	2149.3033	3736.8133	1.85	0.64
96979	Ptges2	2342.6667	2378.6667	811	377.12	411.83	335.75	463.67	429.47	518.7	1.4	0.37
66390	Slmo2	3132	3304.3333	1338.6667	1141.48	897.07	949.38	1313.4	968.39	1267.5	13.62	3.54
112407	Egln3	391.3333	308.3333	103.6667	2040.305	2588.27	2494.41	2191.41	1176.98	1589.44	3.2	0.25
66377	Ndufc1	3134	3254	1082.3333	3180.445	2818.745	1128.005	2404.94	2668.805	3658.54	6.9	3.42
66377	Ndufc1	3134	3254	1082.3333	3180.445	2818.745	1128.005	2404.94	2668.805	3658.54	2.15	0.78
83945	Dnaja3	6014.6667	6285	2332.3333	659.2033	431.8933	478.88	258.4733	281.72	352.2167	5.71	2.4
26940	Ecsit	1954.6667	1949.3333	770	270.29	218.19	236.31	173.92	174.91	256.42	1.12	0.45
21881	Tkt	55204.3333	51275	21278.6667	1266.1667	1162.8867	744.0233	1375.05	1491.9667	1694.6633	0.99	0.43
68493	Ndufaf4	1555.6667	1541.3333	705.3333	1026.855	738.2	516.625	1163.205	584.915	876.65	22.66	10.95
16922	Phyh	14105.3333	14566	4436.6667	1134.73	1331.35	1611.45	570.17	878	1748.91	1.54	0.66
78688	Nol3	1577	1619	404.3333	76.035	129.02	149.39	75.16	77.99	98.895	5.89	1.79
19299	Abcd3	9506.3333	8900.6667	3186.6667	643.13	594.225	503.28	619.5	543.285	748.885	5.46	2.21
11364	Acadm	31336	32345	9465	5398.61	4591.46	1681.87	2500.04	1876.18	4790.85	63.9	29.64
110095	Pygl	20002.3333	18639	6732.3333	4442.66	4447.35	3327.04	979.92	969.11	1932.58	10.76	2.64
319520	Dusp4	1692.3333	1383.3333	706	2313.47	1286.52	1094.4	4400.35	3479.33	3688.7	6.02	2.23
68512	68512	1469.6667	1525.6667	703.6667	2424.45	1529.6	1043.1	2780.79	2317.31	2461.26	1.72	0.81
66433	Chchd7	999.3333	969.6667	445.6667	751.405	579.54	648.4925	645.135	564.7525	425.31	13.22	4.86
94226	S1pr5	102.6667	125.6667	18.3333	19.85	3.67	11.08	6.18	1.6	11.27	0.86	0.31
12716	Ckmt1	85.3333	3	2	15.575	21.215	14.34	13.965	19.4	6.245	2.88	0.5
12716	Ckmt1	85.3333	3	2	15.575	21.215	14.34	13.965	19.4	6.245	2.88	0.37
70503	Ddo	1868.6667	1846.6667	474.3333	85.9125	99.0125	25.455	33.005	29.965	22.725	2.98	0.9
433771	Minos1	3824	3954	1761.6667	1919.5967	2152.9733	1435.85	1312.9833	2115.1067	1625.52	3.33	0.63
70266	Ccbl1	802.3333	796	338	94.52	176.91	222.305	64.365	180.685	122.6825	1.1	0.52
68197	68197	5185.3333	5345.6667	2097.3333	3481.165	2571.3375	1695.3775	2856.2625	3174.3	3695.1025	12.33	5.85
68197	Ndufc2	5185.3333	5345.6667	2097.3333	3481.165	2571.3375	1695.3775	2856.2625	3174.3	3695.1025	0.94	0.45
74143	Opa1	7254.6667	7229	3324.6667	533.99	406.48	440.8533	329.0233	292.08	467.5467	8.04	4.01
108841	Rdh13	1235	1269	552.6667	347.01	237.67	308.79	461.1	225.06	249.9	2.65	1.23
330863	Trim67	1131	1306.3333	276.3333	18.25	13.51	15.64	14.36	16.01	23.51	0.76	0.08
215201	Trmt2b	2098	2242	1093	138.17	129.17	121.94	86.09	106.35	123.205	0.91	0.21
218772	Rarb	377.3333	421.6667	100.6667	22.71	30.21	41.56	25.63	29.29	37.31	1.31	0.34
66163	Mrpl4	2506.6667	2576	1255.3333	1255.22	722.18	986.26	904.82	1241.28	1300.24	3.89	1.72
73284	Ddit4l	175.6667	52	27	103.8233	43.4733	50.29	46.96	41.27	33.3233	4.73	2.14
12039	Bckdha	13058.3333	13179	4932.3333	1178.08	609.62	581.51	662.94	990.35	1180.47	0.95	0
230126	Shb	873	692	280.6667	384.06	381.68	327.1	490.15	460.88	359.65	2.72	1.31
11958	Atp5k	3730.6667	3794	1749.3333	5536.15	4842.47	2010.72	5649.3867	5104.6133	6113.7567	27.58	9.64
69487	Ndufaf5	753.6667	821.3333	355	208.41	220.65	164.49	208.34	242.74	236.52	1.64	0.5
108888	Atad3a	2548.6667	2725	1354.6667	670.4575	498.6475	523.0575	277.665	461.7	424.8675	3.25	1.44
20472	Six2	16.6667	2.3333	0.33333	29.69	20.6	31.32	7.81	36.61	1	9.56	3.74
56295	Higd1a	2035	2040	1018	4624.1433	3037.7033	3027.9333	3945.5467	3429.04	4584.69	1.26	0
56295	Higd1a	2035	2040	1018	4624.1433	3037.7033	3027.9333	3945.5467	3429.04	4584.69	1.25	0.56
14683	Gnas	32556.3333	36311.6667	17350.3333	1938.494	2105.98	2514.872	2050.128	1565.662	2035.496	2.75	1.33
22003	Tpm1	4871	2674	2127.6667	509.6225	320.8625	400.84	609.8975	325.7275	853.8325	293.41	78.92
22003	Tpm1	4871	2674	2127.6667	509.6225	320.8625	400.84	609.8975	325.7275	853.8325	134.4	63.31
22003	Tpm1	4871	2674	2127.6667	509.6225	320.8625	400.84	609.8975	325.7275	853.8325	15.98	6.39
22003	Tpm1	4871	2674	2127.6667	509.6225	320.8625	400.84	609.8975	325.7275	853.8325	1.59	0.69
53376	Usp2	1613.6667	1745.6667	589.6667	372	207.83	309.45	246.16	223.85	293.565	1.31	0.61
12972	Cryz	1004.6667	965	456.6667	590.7	679.705	444.38	520.165	526.34	588.875	1.04	0.48
12349	Car2	436.3333	477.3333	169.3333	595.65	380.71	60.96	176.95	73.8	1854.63	1.52	0.37
269959	Adamtsl3	453.6667	644.6667	154.6667	52.35	41.16	43.41	20.07	45.67	50.77	1.6	0.41
15159	Hccs	1113.3333	1269.3333	652.6667	794.595	751.505	635.21	870.11	399.955	787.87	21.97	8.78
19049	Ppp1r1b	82	6.3333	5.6667	1.32	15.7	7.97	12.89	8.64	3.13	3.15	1.15
68016	Murc	58.6667	32.6667	11.3333	22.95	19.28	21.58	6.33	23.02	7.96	0.72	0.2
232334	Vgll4	1244	1320.3333	726.3333	222.05	213.69	324.03	227.16	180.25	275.08	14.86	6.71
12348	Car11	252.6667	237.3333	98	303.32	167.1	324.74	199.79	328.66	325.84	1.94	0.89
110821	Pcca	7115.3333	7006.6667	3143.6667	1009.67	720.08	292.245	299.93	386.27	816	2.6	0.69
67863	Slc25a11	4264.6667	4356.3333	2623.3333	837.7	611.9	669.36	541.02	572.82	838.05	2.53	1.04
13346	Des	2550.6667	2036	1331	68.39	44.89	41.88	48.32	62.91	69.69	1.45	0.39
74142	Lonp1	6492.3333	6188.3333	3513.6667	1565.33	780.18	1456.53	1116.97	1242.74	1535.59	0.82	0.39
12034	Phb2	5654	5832.6667	3633	1887.4425	1487.3775	1583.135	1781.3375	1409.835	1456.58	2.98	1.06
11514	Adcy8	23	1.6667	0.66667	15.78	19.93	24.37	4.37	20.17	21.23	0.66	0.13
13592	Ebf2	2292.6667	2121.3333	838.6667	313.6933	144.9967	329.5	39.77	20.02	14.2267	17.57	5.64
52665	Echdc1	2635	2193.6667	1238	4034.06	2597.83	1970.35	1042.65	2357.89	3198.98	67.21	30.38
53333	Tomm40	1710.6667	1784.3333	1108.6667	615.37	182.19	476.54	595.11	521.78	593.7	3.89	0.11
53333	Tomm40	1710.6667	1784.3333	1108.6667	615.37	182.19	476.54	595.11	521.78	593.7	1.86	0.53
333639	Mamld1	487.3333	404.6667	197.3333	90.55	60.29	61.62	43.08	67.19	47.32	6.28	2.87
333639	Mamld1	487.3333	404.6667	197.3333	90.55	60.29	61.62	43.08	67.19	47.32	1.46	0.57
333639	Mamld1	487.3333	404.6667	197.3333	90.55	60.29	61.62	43.08	67.19	47.32	1.73	0.48
21379	Tbrg4	1897	1902	1245.6667	202.6425	133.475	162.3625	272.0975	156.4925	157.27	6.79	2.24
102626	Mapkapk3	1704.6667	1497.6667	1103	252.145	161.7	113.47	191.695	187.235	270.975	1.53	0
29811	Ndrg2	9820.6667	9805.3333	4431.6667	640.25	567.86	460.1	217.76	323.19	580.3	6.09	0.31
29811	Ndrg2	9820.6667	9805.3333	4431.6667	640.25	567.86	460.1	217.76	323.19	580.3	2.16	0.82
29811	Ndrg2	9820.6667	9805.3333	4431.6667	640.25	567.86	460.1	217.76	323.19	580.3	1.56	0.16
29811	Ndrg2	9820.6667	9805.3333	4431.6667	640.25	567.86	460.1	217.76	323.19	580.3	1.23	0.09
68758	Abhd11	1506.3333	1550.3333	944.3333	688.93	475.59	380.18	589.62	637.86	536.85	2.25	0.79
12700	Cish	2753.3333	2198	945.3333	421.94	355.22	340.22	584.97	779.18	490.95	2.98	1.06
68166	Spire1	1323	1355	842	133.662	158.294	172.29	130.352	77.052	88.824	0.75	0.09
56198	Heyl	697.6667	818.6667	298.6667	64.3367	44.2633	52.86	31.0933	72.0933	46.79	5.68	0.68
67096	Mmachc	1047.3333	1003	583.3333	243.07	205.18	142.77	126.91	90.6	182.02	3.91	1.89
97820	4833439L19Rik	4966.6667	5296	3051.6667	575.3467	598.64	571.36	603.2467	519.15	581.3933	2.49	1.13
94044	Bcl2l13	4855.6667	4833.6667	3146.6667	484.975	518.88	449.55	319.3	381.03	382.645	6.8	3.36
13202	Ddt	2378.6667	2627.6667	1377.3333	4763.76	2858.31	3311.29	1254.28	3724.43	2837.82	1.62	0.78
20183	Rxrg	654.6667	677	363.3333	19.3	26.72	15.22	14.76	9.07	22.14	8.61	1.84
15370	Nr4a1	1060	1967.3333	463	3920.2	1851.86	6100.17	3376.06	2943.88	1751	1.13	0.12
67105	Timm21	1202.3333	1327	825	637.3	586.79	436.62	602.42	321.06	463.66	54.26	23.6
320806	Gfm2	1939.3333	1866	1377	120.115	64.375	73.185	96.435	59.72	125.53	2.54	0
320806	Gfm2	1939.3333	1866	1377	120.115	64.375	73.185	96.435	59.72	125.53	0.93	0.4
29818	Hspb7	124	66.3333	41	186.8567	115.15	236.38	26.7733	58.9033	35.02	85.49	6.85
76574	Mfsd2a	115	124	22.6667	53.16	46.75	31.99	52.69	42.55	53.48	20.18	8.17
64082	Popdc2	609	492.3333	299.3333	64.33	51.52	65.89	54.25	81.74	63.73	0.96	0.33
226153	Peo1	836	766.6667	559.6667	238.14	263.67	235.61	379.53	132.39	333.96	1.34	0.56
57785	Rangrf	328.3333	377	185.3333	246.42	166.1	194.14	279.27	346.85	233.72	1.75	0.68
116904	Alpk3	92.6667	59	33.3333	6.76	32.99	13.57	4.17	20.04	5.33	0.77	0.33
77254	Yif1b	1191.3333	1253.3333	813	784.42	576.42	616.21	450.9	761.63	588.16	1.42	0.03
109731	Maob	4118.3333	3728.3333	2202.6667	403.46	296.4	160.22	138.71	308.85	448.46	14.15	5
26386	Hsf4	146	137.6667	67.6667	3.61	15.95	1.32	5.33	2.12	7.66	0.79	0.19
16828	Ldha	26792.3333	25438.6667	17992.6667	17973.74	14978.92	16391.93	14842.71	15000.02	18149.55	1.14	0.53
16828	Ldha	26792.3333	25438.6667	17992.6667	17973.74	14978.92	16391.93	14842.71	15000.02	18149.55	8.85	3.51
20496	Slc12a2	1938.6667	1582.3333	1272	334.6267	311.63	260.1667	352.6533	167.9	273.3333	2.93	1.19
13076	Cyp1a1	189.3333	240.6667	52	49.88	21.15	29.53	36.05	73.73	41.38	5.55	0.44
67877	Naa20	1262	1322.6667	913	1687.91	2245.3	1591.74	1931.58	2282.3	2343.27	4.2	0.59
68794	Flnc	350.6667	144.6667	137.3333	383.56	397.58	736.54	431.73	433.64	469.725	11.89	5.66
232533	Stk38l	1154.3333	1158.6667	801	180.6267	132.84	179.4467	155.69	193.5233	146.4967	16.57	3.17
103844	Inca1	785.3333	768.6667	377	141.02	129.2	85.4	113.825	113.58	120.41	0.64	0.3
56248	Ak3	10281	10085	6154.6667	912.48	1010.8167	604.85	686.5333	498.8533	1059.99	13.04	2.87
56248	Ak3	10281	10085	6154.6667	912.48	1010.8167	604.85	686.5333	498.8533	1059.99	2.16	0.08
14936	Gys1	6642.6667	6058.3333	3810.3333	523.09	373.19	556.7	597.405	363.975	990.69	5.64	1.35
109245	Lrrc39	890.6667	857	498.3333	48.31	21.475	19.4	18.93	13.815	18.25	3.79	1.23
14563	Gdf5	272.6667	278	102	5.35	12.61	7.62	4.3	13.04	9.15	4.93	1.79
105351	AW209491	545	495.6667	356.3333	652.42	458.33	514.32	510.46	353.6	702.74	7.81	0.04
207592	Tbc1d16	1163.3333	580.6667	868.6667	127.87	183.71	222.435	262.865	215.355	211.255	2.89	1.39
20597	Smpd1	3061.3333	3234.3333	2006.3333	758.21	449.695	984.615	553.415	757.045	930.945	3.44	1.11
109294	Prex2	4736	4785	2488.6667	43.94	32.21	12.3	51.885	27.455	76.205	1.86	0.51
109294	Prex2	4736	4785	2488.6667	43.94	32.21	12.3	51.885	27.455	76.205	0.69	0.07
230027	Coq3	1023.3333	985	640.3333	290.57	284.085	221.11	290.78	270.12	302.765	17.21	8.21
381045	Ccdc58	436	438.3333	288.6667	386.915	482.065	413.645	501.705	523.83	346.465	26.77	12.47
230721	Pabpc4	2665	2764	2110.6667	1943.825	3116.905	4110.485	1735.625	1992.34	1577.91	23.42	11.59
107250	Kazald1	191.3333	204	84.3333	98.25	97.79	66.74	52.21	68.21	74.13	4.08	1.5
66958	Tmx2	1953.6667	1901	1457.6667	1059.81	746.945	744.85	754.185	614.93	1238.445	22.32	6.21
76890	Memo1	1175	1180.3333	913.6667	819.265	835.44	685.42	1372.75	805.855	820.53	4.63	0.81
22335	Vdac3	2513.3333	2611.3333	1988.3333	4309.66	4437.02	4420.34	4206.58	3218.82	3944.64	3.94	0.68
223722	Mcat	1020	988	741.3333	194.94	182.09	131.06	225.73	157.1	197.02	0.99	0.39
12632	Cfl2	3441	3352	2363.3333	1024.1133	1043.3633	1384.95	967.4867	615.7233	747.3267	8.13	3.84
17130	Smad6	576.3333	613.3333	352.3333	423.73	309	632.01	277.88	611.39	478.31	25.46	2.09
68915	Vars2	1142.3333	1169.3333	909	91.36	85.49	83.34	134.305	102.31	113.315	1.45	0.08
15586	Hyal1	976.6667	903.3333	535.6667	343.67	381.795	966.605	320.605	410.935	351.33	1.45	0.53
76142	Ppp1r14c	22	10.3333	5.6667	44.795	59.405	45.055	64.31	55.54	57.77	10.04	3.8
18124	Nr4a3	199	295	104.3333	995.6133	178.6533	265.5433	412.0267	279.79	422.8667	3.16	0.9
27357	Gyg	3201	3123	2453.6667	2201.495	3577.795	1869.43	954.085	1304.755	2820.68	5	2.45
105522	Ankrd28	1367.3333	1302	1142	246.46	247.2	220.22	223.63	211.75	235.94	9.23	2.24
26894	Cops7a	2264.6667	2040.6667	1801.3333	327.49	277.56	244.07	253.365	220.005	237.425	4.42	2.13
207214	Larp4	2990	2952	2519	770.6067	548.1767	627.87	647.8633	331.52	653.6233	10.64	1.67
207214	Larp4	2990	2952	2519	770.6067	548.1767	627.87	647.8633	331.52	653.6233	1.8	0.23
207214	Larp4	2990	2952	2519	770.6067	548.1767	627.87	647.8633	331.52	653.6233	0.8	0.13
19302	Pex2	1571.6667	1664.6667	1277	457.025	344.955	263.75	428.58	261.425	505.405	1.53	0.58
15288	Hmbs	1224.6667	1179.6667	937.6667	329.31	288.01	199.28	342.5	304.1	585.185	2.23	0
24030	Mrps12	786.3333	766.3333	574.6667	660.54	529.52	495.49	527.05	758.96	770.1	1.45	0.16
382111	Susd5	34.3333	30	15.6667	28.8	25.39	19.275	22.51	18.88	28.26	4.45	1.95
108699	Chn1	431.6667	353.3333	235.6667	28.385	49.005	31.435	22.535	23.765	13.075	1.16	0.36
26572	Cops3	1589	1497.6667	1312.3333	550.2875	488.795	544.28	556.865	387.025	510.2925	16.03	1.94
67884	1810043G02Rik	711.6667	698.6667	498	86.95	93.32	124.335	97.225	89.125	81.235	1.91	0.82
66568	Rwdd3	127.6667	137.3333	77	36.1867	49.77	42.94	24.9167	24.96	26.7133	2.35	0.32
71532	Fam217b	309.6667	291.6667	182.3333	95.36	324.75	257.24	128.44	111.05	169.48	0.61	0.16
18041	Nfs1	2550.6667	2446.6667	1964.3333	323.27	368.1	314.5533	309.8667	340.43	356.8967	4.81	1.96
217082	Hlf	2247.6667	2287	1455.6667	63.325	51.945	31.13	23.91	36.48	48.625	0.69	0.15
117146	Ube3b	4233	4211	3623	582.06	590.25	724.07	655.49	586.15	582.56	0.61	0
21847	Klf10	1435.3333	1223.6667	1118.3333	1197.55	1390.89	1453.06	1808.64	806.39	1244.02	7	1.61
319582	6430573F11Rik	149	169.6667	88	21.4	21.08	18.69	10.315	29.33	32.63	1.21	0.56
21767	Tex264	2156.3333	2217.6667	1697.3333	1090.38	706.33	1081.12	689.55	887.25	1196.82	0.63	0.24
58233	Dnaja4	704.6667	828.6667	545	163.39	236.1267	230.5433	160.21	233.3967	156.18	2.24	0.72
56075	Pdss1	179	194.6667	117.3333	97.405	61.695	46.005	81.165	37.57	123.31	10.68	4.92
18016	Nf2	3694.3333	3783.3333	3047.6667	82.4225	93.93	101.265	112.1275	138.8225	84	2.96	1.33
12283	Cab39	5559	5403	4981.3333	1104.78	1296.78	1579.33	1304.685	601.225	1005.935	1.01	0.15
50724	Sap30l	683.6667	735	556.6667	980.15	1119.6	1141.42	1617.92	1641.34	830.01	5.22	2.52
12583	Cdo1	19802.3333	18397	13523.3333	9780.79	9557.04	5648.39	2282.2	3810.85	7034.34	110.66	42.29
59025	Usp14	1916.6667	1969.3333	1654	655.8975	896.2875	1050.6825	1038.9875	704.035	1013.69	3.37	1.61
230917	Tmem201	1012.3333	1093.6667	846	90.1233	90.95	102.3167	100.87	97.1967	82.3733	4.92	2.18
105559	Mbnl2	5683.6667	5646.6667	4461	961.442	607.756	775.498	686.244	383.532	739.45	29.03	7.92
13167	Dbi	14967.3333	14645.3333	11186.6667	12689.3725	9666.5825	6110.6675	8799.9625	10325.9275	12006.9475	1.45	0.48
14451	Gas1	723	900.6667	490.3333	1288.5367	2411.8	868.6833	1630.86	907.3033	3435.4033	40.49	10.34
73130	Tmed5	4675	4795.6667	3692.6667	2060.132	1526.13	1475.792	2175.69	1163.698	2166.594	1.77	0.62
69327	1700007K13Rik	4.6667	5.6667	0.66667	264.62	26.18	72.09	46.12	21.92	55.07	1.25	0
382793	Mtx3	1196.6667	1333.6667	1064.6667	154.4033	105.2533	69	87.4	65.2633	129.4067	3.79	1.68
11552	Adra2b	19.3333	20.3333	9	14.24	6.655	14.71	14.35	14.125	18.285	0.94	0.1
238257	Tmem30b	33	6	6.3333	19.47	6.53	4.35	15.6	5.42	12.84	8.41	0.17
226976	Kansl3	3255.6667	3564	2943	387.885	441.12	653.02	415.35	422.805	481.38	1.71	0.63
12282	Hyou1	2821	2577	2595.6667	235.5233	182.7267	235.7	142.11	225.2767	401.8767	0.67	0.16
21916	Tmod1	127.6667	52	44.6667	58.74	93.21	182.55	67.6	127.86	67.84	5.02	0.55
68770	Phtf2	1084.6667	978.6667	942	81.415	80.425	70.175	113.54	63.43	82.72	4.09	1.69
67452	Pnpla8	5789.3333	5750.6667	4526.3333	1290.035	1388.31	1488.115	976.325	805.32	1286.73	3.3	0.91
70533	Btf3l4	986	1059.6667	844.3333	957.54	967.76	680.67	442.3033	948.4667	970.0233	5.01	2.39
17313	Mgp	679.3333	910.6667	549.6667	3819.24	324.5	139.43	50.19	53.26	219.96	523.67	45.68
15901	Id1	1235.6667	1146.3333	833.6667	1948.77	694.78	1677.36	1999.77	2204.36	2152.72	139.9	24.13
15901	Id1	1235.6667	1146.3333	833.6667	1948.77	694.78	1677.36	1999.77	2204.36	2152.72	10.96	1.62
22200	Uba3	1832.6667	1763	1639.3333	1235.1633	1607.5767	1070.0033	1277.3633	1071.9233	1335.25	1.74	0.86
228662	Btbd3	1157.3333	1188.3333	930.3333	192.6133	276.77	300.9633	161.2333	121.7567	185.7167	2.03	0.35
101113	Snx21	804.6667	912.6667	578.6667	119.715	290.6	385.08	222.63	255.425	213.875	5.45	0.03
101113	Snx21	804.6667	912.6667	578.6667	119.715	290.6	385.08	222.63	255.425	213.875	1.12	0.3
15399	Hoxa2	67.3333	53.6667	38	59.42	53.51	46.51	30.7	28.13	24.19	3.56	0.76
18186	Nrp1	9413.3333	8310.6667	7135.3333	1166.0925	1042.1125	580.3575	820.7625	710.715	1481.4875	2.11	0.68
22339	Vegfa	9445.3333	11109.6667	6416.6667	2215.805	2409.11	2991.11	3062.16	3433.525	2719.125	11.07	5.5
73254	Ccdc18	82.6667	88.6667	50.6667	13.7867	7.7867	23.42	14.6533	24.7267	20.7867	4.65	1.54
232337	Zfp637	669.6667	590	526.3333	737.51	697.78	734.26	642.75	578.73	588.51	1.31	0.38
19317	Qk	7150.6667	7230.6667	6150	1199.3886	978.3586	1129.31	1507.8771	638.8057	999.8914	3.31	1.27
54151	Cyhr1	3031	3005.6667	2776	146.97	121.6217	144.415	164.6517	163.045	150.975	1.24	0.5
319945	Flad1	1397	1333.6667	1277.3333	226.03	216.49	170.57	171.81	246.39	244.37	0.72	0.18
68550	Tefm	393	376.6667	301.3333	262.01	198.74	141.77	202.65	158.81	270.09	17.72	8.57
193813	Mcfd2	3189	2841.3333	2687.6667	3456.19	3906.82	3557.33	2341.51	2628.94	2661.81	5.47	0.02
13800	Enah	305.3333	303	223.6667	928.9333	1039.9967	1197.3433	1443.83	767.4333	1678.2083	19.71	5.68
13800	Enah	305.3333	303	223.6667	928.9333	1039.9967	1197.3433	1443.83	767.4333	1678.2083	2.16	0.61
66826	Taz	1896.3333	1977.6667	1819.6667	306.98	315.61	291.495	237.425	263.795	274.64	1.55	0.52
66826	Taz	1896.3333	1977.6667	1819.6667	306.98	315.61	291.495	237.425	263.795	274.64	1.65	0.76
52575	Trmt10c	949	779.3333	866.6667	231.715	256.515	235.825	243.02	119.035	199.875	29.63	12.96
